artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,mood_1
Fairport Convention,Matty Groves,0.605,0.101,90.61,0.0758,0.0149,0.00143,4,0.395,2,488400,-11.924,0.811,1,Gritty
Bobby Caldwell,Open Your Eyes,0.286,0.0553,95.538,0.0454,0.881,0.00239,4,0.745,2,225027,-17.572,0.406,1,Sensual
Brown Bird,Smoke Rising,0.735,0.0765,135.173,0.0266,0.00183,0.782,4,0.572,9,273867,-6.042,0.613,1,Sad
Bad Suns,Cardiac Arrest,0.88,0.0539,94.011,0.042,0.0521,0.000717,4,0.616,1,182518,-3.59,0.757,1,Sensual
Eric Clapton,Change The World,0.556,0.0935,96.9,0.0248,0.477,0.00511,4,0.719,9,234813,-8.77,0.533,1,Sad
Bombus,Deadweight,0.892,0.308,180.028,0.0423,4.43E-05,0.00338,3,0.429,8,251693,-5.194,0.566,1,Aggressive
Conor Oberst,Milk Thistle,0.249,0.302,84.785,0.0416,0.766,0.00174,4,0.478,11,321053,-12.817,0.297,1,Sad
Erykah Badu,Other Side Of The Game,0.262,0.112,83.186,0.0866,0.486,0.396,4,0.646,11,393733,-11.159,0.19,1,Sensual
Sheppard,Geronimo,0.771,0.115,142.016,0.0783,0.434,0.0013,4,0.707,7,218228,-6.275,0.449,1,Yearning
Liv Dawson,Reflection,0.385,0.0549,86.047,0.0316,0.166,2.74E-05,4,0.58,6,237177,-9.044,0.0599,1,Sophisticated
Morbid Angel,I Am Morbid,0.929,0.382,180.02,0.0486,0.000161,2.14E-05,4,0.435,11,316813,-4.456,0.28,1,Aggressive
Eddie & The Hot Rods,Do Anything You Wanna Do,0.835,0.12,147.747,0.0606,0.00109,0.0656,4,0.347,9,260027,-8.703,0.559,1,Defiant
Antonn Dvok,"Dvorak: String Quartet No. 12 in F Major, Op. 96, 'American': I. Allegro, ma non troppo",0.118,0.082,115.714,0.0427,0.965,0.81,4,0.295,5,550800,-20.226,0.0913,1,Serious
Hozier,Angel Of Small Death & The Codeine Scene,0.674,0.128,93.998,0.0594,0.202,1.07E-05,4,0.468,4,218973,-6.692,0.28,1,Sad
Stan Getz,A Nightingale Sang In Berkeley Square,0.106,0.123,94.231,0.0375,0.973,0.0762,4,0.407,1,418000,-19.078,0.23,1,Sentimental
Kendrick Lamar,i,0.886,0.236,121.91,0.0627,0.0196,1.72E-06,4,0.761,1,231933,-5.322,0.892,1,Easygoing
Beartooth,Hated,0.99,0.454,166.904,0.183,0.000285,0.000893,4,0.458,8,211430,-3.717,0.462,1,Defiant
Armin van Buuren,The Sound of Goodbye - Above & Beyond US Radio Edit,0.972,0.0314,135.978,0.038,0.0424,0.544,4,0.606,11,229440,-5.227,0.791,1,Excited
Donna Summer,"I Feel Love - 12"" Version",0.824,0.106,128.128,0.0405,0.0904,0.753,4,0.692,5,495173,-13.09,0.961,1,Energetic
Sevendust,Home,0.941,0.132,89.756,0.162,0.0027,0.00185,4,0.622,9,214000,-4.651,0.548,1,Aggressive
John Coltrane,Liberia,0.422,0.339,117.835,0.045,0.794,0.0351,4,0.481,9,411307,-14.62,0.457,1,Energetic
Black Rebel Motorcycle Club,Spread Your Love,0.901,0.136,128.216,0.0428,0.00987,0.361,4,0.415,2,225333,-3.124,0.423,1,Energetic
Cline Dion,The Power of Love,0.519,0.24,140.054,0.0291,0.36,0.00046,4,0.546,8,342400,-9.072,0.261,1,Energetic
TLC,Waterfalls - Single Edit,0.547,0.066,171.805,0.141,0.166,8.19E-05,4,0.785,1,258600,-6.33,0.74,1,Cool
Jens Kuross,We Will Run,0.339,0.11,90.051,0.0321,0.502,9.92E-06,3,0.425,7,223166,-11.939,0.311,1,Sad
Tom Tom Club,"On, On, On, On...",0.662,0.0978,127.627,0.0604,0.00617,0.315,4,0.819,9,213067,-13.419,0.356,1,Energetic
Bunk Johnson,Low Down Blues,0.146,0.23,107.75,0.0484,0.842,0.811,4,0.822,1,165947,-16.254,0.815,1,Energetic
Usher,My Baby Just Cares For Me,0.528,0.08,86.528,0.107,0.171,1.51E-05,4,0.716,5,238600,-6.691,0.484,1,Sensual
Giuseppe Verdi,"Rigoletto / Act 3: ""La donna  mobile""",0.106,0.117,124.842,0.044,0.984,0.0117,3,0.404,11,187560,-17.73,0.237,1,Stirring
Arms and Sleepers,Kepesh,0.663,0.0666,87.99,0.0535,0.151,0.96,4,0.678,1,328125,-10.035,0.327,1,Sensual
Zeus,Are You Gonna' Waste My Time?,0.702,0.11,148.161,0.07,0.00655,1.88E-05,4,0.459,9,155787,-9.255,0.663,1,Excited
Osvaldo Golijov,Omaramor For Solo Cello,0.0588,0.0842,88.632,0.0473,0.953,0.515,4,0.251,7,494800,-22.936,0.0397,1,Serious
Stephen O'Malley,L'tang // Aurore Theme,0.103,0.0807,74.599,0.0391,0.813,0.852,4,0.0824,5,1016233,-18.668,0.0323,1,Sad
Radiohead,Karma Police,0.505,0.172,74.807,0.026,0.0626,9.22E-05,4,0.36,7,264067,-9.129,0.311,1,Sad
The Champs,Tequila (Original),0.961,0.0738,90.647,0.0522,0.0519,0.905,4,0.532,10,130320,-4.056,0.776,1,Energetic
Slushii,Make Me Feel,0.945,0.356,150.057,0.448,0.00948,3.74E-05,4,0.623,11,242208,-4.571,0.356,1,Excited
Swedish Council,In My Dreams - Power Walk Mix,0.662,0.112,121.977,0.0314,0.0163,0.00124,4,0.684,2,225150,-6.498,0.304,1,Cool
Frdric Chopin,"Chopin: Piano Concerto No.1 In E Minor, Op.11 - 2. Romance (Larghetto)",0.085,0.0814,87.12,0.0374,0.992,0.917,4,0.196,4,549040,-21.657,0.0398,1,Tender
Alexi Murdoch,Orange Sky,0.15,0.1,124.956,0.039,0.797,0.0461,4,0.685,2,379520,-20.543,0.128,1,Sad
Opossom,Why Why,0.597,0.221,151.487,0.0358,0.000213,0.000424,4,0.343,9,181696,-5.86,0.299,1,Yearning
Sergei Rachmaninoff,Rhapsody on a Theme of Paganini: V. Variation XVIII,0.133,0.0971,174.494,0.039,0.977,0.936,4,0.146,1,163413,-18.292,0.0487,1,Peaceful
Brian McKnight,Back At One,0.447,0.161,134.067,0.0283,0.443,1.57E-06,4,0.631,11,198941,-8.043,0.363,1,Energetic
B.B. King,Three O'Clock Blues,0.461,0.183,70.76,0.0357,0.949,0.00161,4,0.521,3,181133,-7.289,0.577,1,Sophisticated
Dallas Smith,Autograph,0.616,0.105,173.75,0.0422,0.696,0.000101,4,0.499,7,175760,-6.27,0.257,1,Yearning
Icarus,October,0.711,0.0824,116.003,0.0355,0.0306,0.913,4,0.365,8,354102,-9.591,0.115,1,Sensual
Kideko,Crank It (Woah!) - Radio Edit,0.915,0.0806,124.977,0.167,0.0881,0.000338,4,0.801,7,168000,-6.8,0.801,1,Aggressive
KONGOS,Come with Me Now,0.739,0.0537,103.97,0.0427,0.0398,5.58E-05,4,0.668,8,211973,-3.807,0.7,1,Defiant
Drew Holcomb & The Neighbors,What Would I Do Without You,0.336,0.143,90.894,0.0369,0.883,0.0017,4,0.602,8,172213,-11.106,0.34,1,Energetic
The Cramps,Human Fly,0.849,0.186,119.516,0.111,0.0389,0.00763,4,0.531,9,136427,-10.754,0.317,1,Defiant
Harold Melvin & The Blue Notes,Don't Leave Me This Way,0.903,0.0809,123.215,0.114,0.0267,1.13E-06,4,0.388,1,425093,-3.817,0.586,1,Cool
Ambercity,Late Night Kisses,0.732,0.0982,75.21,0.0368,0.198,0.52,4,0.452,7,256018,-7.937,0.531,1,Excited
Clubroot,Faith In Her',0.338,0.104,119.933,0.0426,0.545,0.905,4,0.49,7,275263,-13.913,0.0368,1,Sensual
Nam Woo Hyun,Still I remember,0.487,0.169,142.08,0.0251,0.63,4.13E-06,4,0.514,7,258027,-6.811,0.322,1,Excited
Calum Scott,Dancing On My Own - Tisto Remix,0.648,0.0897,121.96,0.036,0.0194,0.00104,4,0.608,1,224392,-5.569,0.117,1,Energetic
Surf Rock Is Dead,Anymore,0.793,0.323,78.947,0.037,0.0714,0.00599,4,0.402,9,197596,-5.325,0.315,1,Sad
The Wolfe Tones,Many Young Men Of Twenty,0.407,0.173,88.026,0.0324,0.924,4.56E-06,4,0.55,5,145267,-14.173,0.561,1,Easygoing
Chuck Berry,Johnny B. Goode,0.874,0.323,166.54,0.0706,0.781,0.000311,4,0.54,10,161293,-6.099,0.968,1,Energetic
Gucci Mane,1st Day Out Tha Feds,0.441,0.114,138.012,0.0679,0.00145,0.000338,4,0.869,4,184400,-6.717,0.672,1,Energetic
Dierks Bentley,Free And Easy (Down The Road I Go),0.825,0.177,120.015,0.0283,0.00525,0.00164,4,0.557,6,201120,-4.657,0.848,1,Yearning
Nicholas Payton,A Touch Of Silver,0.519,0.102,128.346,0.0391,0.845,0.696,4,0.515,7,313560,-9.631,0.343,1,Sophisticated
The Mighty Mighty Bosstones,The Rascal King,0.851,0.0615,88.502,0.0374,0.00271,3.23E-06,4,0.511,1,165960,-5.654,0.965,1,Excited
R.E.M.,Everybody Hurts,0.383,0.172,188.2,0.0282,0.614,0.0237,3,0.254,2,318240,-8.036,0.178,1,Energetic
Arc Angels,Living In A Dream,0.624,0.186,79.754,0.029,0.000608,0.0201,4,0.419,7,292640,-8.882,0.479,1,Sad
Johnny Kemp,Just Got Paid,0.783,0.109,117.112,0.0804,0.0157,2.75E-05,4,0.794,7,212467,-6.4,0.803,1,Energetic
Ron Funches,Oregon,0.727,0.762,125.635,0.916,0.805,0.00021,3,0.518,6,159932,-16.351,0.0935,1,Other
Sub Focus,Tidal Wave,0.868,0.64,173.948,0.0419,0.0502,2.03E-06,4,0.532,5,228827,-5.286,0.509,1,Excited
Jacob Banks,Home,0.268,0.258,124.896,0.161,0.734,0.201,3,0.768,2,208800,-14.208,0.145,1,Sensual
OneRepublic,Ordinary Human,0.719,0.107,99.98,0.0278,0.189,0.000443,4,0.514,5,290493,-7.679,0.307,1,Sad
Santana,Back In Black,0.982,0.288,100.044,0.122,0.000533,0.344,4,0.498,9,260800,-2.338,0.576,1,Defiant
Ben Harper And The Innocent Criminals,Shine,0.802,0.0794,97.037,0.0429,0.0551,0.00555,4,0.767,7,235560,-8.826,0.888,1,Yearning
Florida Georgia Line,Confession,0.873,0.176,104.986,0.0348,0.101,0.000131,4,0.556,1,190640,-5.056,0.457,1,Energetic
BRNS,Sunday Morning,0.802,0.203,107.974,0.0354,0.0476,4.03E-06,4,0.403,5,188827,-3.763,0.544,1,Energetic
Noisia,Dead Limit,0.975,0.125,172.149,0.289,0.00399,0.783,4,0.605,1,361395,-2.008,0.0691,1,Aggressive
Marcia Griffiths,Feel Like Jumping,0.461,0.335,138.735,0.0721,0.0626,0.766,4,0.851,5,240267,-11.76,0.942,1,Cool
Testament,Native Blood,0.993,0.158,178.962,0.145,3.06E-05,9.94E-05,4,0.392,1,321347,-4.007,0.296,1,Aggressive
TastyTreat,Ascension,0.923,0.236,154.93,0.0567,0.00203,0.692,4,0.649,1,184299,-5.217,0.708,1,Excited
Fit For A King,Disease,0.971,0.593,110.051,0.137,0.000292,1.38E-06,4,0.538,6,211988,-4.856,0.161,1,Defiant
Max Bruch,"Violin Concerto No. 1 in G Minor, Op. 26: III. Finale. Allegro energico",0.137,0.0633,97.483,0.0432,0.869,0.18,4,0.303,7,420533,-20.57,0.299,1,Tender
Tony Bennett,The Very Thought Of You - Remastered,0.154,0.302,83.307,0.0336,0.957,0.0198,4,0.191,9,276867,-13.184,0.107,1,Romantic
Everette Harp,All Jazzed Up (And Nowhere To Go),0.579,0.126,176.32,0.174,0.298,0.707,4,0.653,5,307493,-7.841,0.492,1,Sensual
Widowspeak,Narrows,0.422,0.329,77.998,0.0289,0.354,0.469,4,0.553,4,252012,-8.688,0.225,1,Sad
Olivier Messiaen,Couleurs de la Cit Cleste,0.0599,0.189,68.252,0.0429,0.959,0.752,4,0.368,3,1046413,-21.675,0.04,1,Serious
Matt Chowski,One Wish - Original Mix,0.838,0.0397,139.997,0.0322,0.000743,0.793,4,0.431,3,486875,-8.901,0.117,1,Easygoing
Modest Mouse,Float On,0.888,0.0888,100.975,0.0293,0.013,2.23E-06,4,0.649,6,208467,-4.807,0.574,1,Energetic
Lavender Diamond,I Don't Recall,0.659,0.11,179.861,0.0303,0.118,0.513,4,0.567,4,180907,-7.196,0.738,1,Energetic
Dioneli,Cuartero,0.818,0.22,121.986,0.0353,0.000114,0.582,4,0.675,2,293373,-9.806,0.222,1,Energetic
Sevendust,Enemy,0.99,0.118,106.912,0.066,0.000181,0.000295,4,0.572,1,183400,-1.992,0.392,1,Aggressive
Lydia Ainsworth,Take Your Face Off,0.54,0.106,149.848,0.0344,0.2,0.0469,4,0.549,9,209909,-9.16,0.268,1,Yearning
Kid Rock,Roving Gangster (Rollin'),0.938,0.404,176.103,0.113,0.00818,0.00084,4,0.547,2,264267,-4.607,0.502,1,Aggressive
Maejor,Noir,0.603,0.103,82.951,0.111,0.0874,1.62E-06,4,0.575,1,241489,-5.374,0.0722,1,Aggressive
Bill Callahan,The Breeze / My Baby Cries,0.133,0.109,83.506,0.0307,0.897,0.193,4,0.423,2,384080,-18.98,0.204,1,Sentimental
Ben Folds Five,Brick,0.454,0.15,96.881,0.025,0.645,0.00279,4,0.542,2,271720,-10.247,0.242,1,Sentimental
Deerhunter,He Would Have Laughed,0.668,0.159,118.54,0.0392,0.461,0.721,4,0.354,4,449373,-7.9,0.37,1,Yearning
Danny Daze,Machine,0.589,0.096,125.001,0.0455,0.000169,0.883,4,0.662,9,438800,-11.562,0.094,1,Energetic
Johann Sebastian Bach,"Invention No. 8 in F Major, BWV 779",0.544,0.119,151.423,0.0473,0.986,0.892,4,0.24,5,46040,-18.15,0.484,1,Easygoing
Enzo,Red Dawn,0.00104,0.0714,66.677,0.0405,0.995,0.956,4,0.38,5,250000,-33.045,0.103,1,Tender
Spinal Tap,Big Bottom,0.443,0.18,113.378,0.0329,0.0683,0.0144,4,0.659,2,212360,-12.917,0.648,1,Sad
Biffy Clyro,Black Chandelier,0.492,0.073,111.374,0.029,0.00276,1.46E-06,4,0.67,11,244868,-6.618,0.243,1,Energetic
Damien Rice,The Blower's Daughter,0.192,0.427,133.198,0.0337,0.135,9.77E-05,4,0.334,4,288467,-13.983,0.0787,1,Sad
Jason Moran,"Intermezzo, Op. 118, No. 2 - Live",0.156,0.0947,69.918,0.0595,0.818,0.893,3,0.426,9,399053,-30.385,0.131,1,Tender
The Album Leaf,Window,0.076,0.0604,76.373,0.0526,0.72,0.957,5,0.232,2,224107,-18.417,0.0345,1,Peaceful
Haroula Rose,Songbird,0.368,0.0826,78.02,0.0258,0.177,0.169,4,0.519,9,242347,-9.958,0.0759,1,Sad
Arctic Monkeys,Mad Sounds,0.462,0.101,80.001,0.03,0.279,0.196,4,0.532,10,215012,-10.71,0.49,1,Romantic
Soul Vision featuring D'Layna,You've Been On My Mind (feat. D'Layna) (Ian Pooley's Main Mix),0.932,0.0786,127.026,0.0516,0.0275,0.0549,4,0.721,8,350173,-7.674,0.785,1,Energetic
Franz Joseph Haydn,Piano Trio No. 39: I. Andante,0.0611,0.117,139.645,0.0396,0.986,0.589,4,0.344,7,356733,-24.354,0.504,1,Tender
Charles-Valentin Alkan,"Sonate de concert en mi majeur pour violoncelle et piano, Op. 47: III. Adagio",0.031,0.0828,84.458,0.0363,0.977,0.924,4,0.227,7,484893,-25.059,0.0938,1,Stirring
The Weepies,When You Go Away,0.527,0.102,132.965,0.0264,0.562,7.21E-05,4,0.701,1,141453,-8.115,0.827,1,Yearning
Deftones,Headup,0.925,0.17,105.253,0.118,0.000503,0.631,4,0.263,3,372973,-5.299,0.0675,1,Aggressive
Manowar,Heart Of Steel,0.322,0.109,121.053,0.0305,0.188,2.89E-06,4,0.531,9,310733,-14.834,0.186,1,Sad
Sundara Karma,Loveblood - EP Version,0.912,0.322,84.989,0.0571,0.000642,0.0715,4,0.284,2,244667,-3.317,0.266,1,Energetic
Paul McCartney,Great Day,0.462,0.147,85.627,0.0445,0.65,2.12E-05,4,0.571,2,128853,-11.475,0.6,1,Sensual
Gila,Don't Chirp,0.554,0.481,119.99,0.0547,0.182,0.752,4,0.799,7,242845,-14.359,0.168,1,Sensual
Avicii,For A Better Day - DubVision Remix,0.873,0.093,127.976,0.0442,0.0126,0.0344,4,0.69,2,293032,-5.478,0.211,1,Excited
Daryle Singletary,Too Much Fun,0.888,0.573,151.785,0.0656,0.124,1.46E-06,4,0.681,7,164165,-4.635,0.787,1,Energetic
Pierce Fulton,Kuaga - Yotto Remix,0.818,0.11,122,0.0779,0.00528,0.159,4,0.774,1,380570,-6.891,0.545,1,Energetic
Wolfgang Amadeus Mozart,"Die Zauberflte, K.620 / Zweiter Aufzug: ""Der Hlle Rache kocht in meinem Herzen""",0.205,0.106,144.378,0.0555,0.982,0.0375,4,0.44,5,176040,-13.323,0.192,1,Tender
Amtrac,No Order,0.709,0.0923,123.998,0.0335,0.0631,0.93,4,0.682,8,344654,-9.711,0.0951,1,Sensual
Basia Bulat,It Can't Be You,0.342,0.158,164.995,0.0415,0.919,0.000786,4,0.415,11,238347,-10.672,0.425,1,Easygoing
Rene Clausen,In Pace,0.0492,0.111,85.465,0.0434,0.991,0.947,1,0.0893,3,485760,-28.614,0.0323,1,Stirring
Trigger Hippy,Turpentine,0.948,0.352,161.769,0.0666,0.0123,1.62E-05,4,0.377,4,271667,-4.422,0.803,1,Energetic
Library Tapes,Fragment II,0.0516,0.102,79.857,0.0313,0.956,0.928,5,0.252,5,240507,-21.321,0.03,1,Peaceful
AC/DC,Hell Ain't a Bad Place to Be - Live,0.878,0.877,129.447,0.071,0.00154,0.586,4,0.54,2,250960,-2.87,0.239,1,Energetic
Alexander Scriabin,"Vers la Flamme, Op. 72",0.0905,0.104,90.337,0.043,0.989,0.902,3,0.264,9,391653,-20.542,0.0332,1,Serious
Nobuo Uematsu,Final Fantasy VIII: Liberi Fatali,0.408,0.0887,152.057,0.0496,0.776,0.0383,4,0.375,10,194173,-14.478,0.2,1,Serious
Niccol Paganini,"Concerto for Violin and Orchestra in E minor, op.post , no.6) - Orch.: Federico Mompellio: 2. Adagio - Cadenza: Salvatore Accardo",0.0672,0.146,96.382,0.0469,0.943,0.587,3,0.158,4,444507,-27.403,0.0373,1,Serious
Enterprise Earth,"This Hell, My Home",0.993,0.0658,139.812,0.207,1.48E-05,0.0633,4,0.322,9,254432,-2.476,0.103,1,Aggressive
Red Hot Chili Peppers,Give It Away,0.936,0.153,91.577,0.0476,0.00244,0.086,4,0.666,7,282907,-9.919,0.793,1,Energetic
Phamie Gow,War Song,0.0225,0.0726,108.594,0.0412,0.99,0.923,4,0.379,2,197960,-26.049,0.14,1,Tender
George Frideric Handel,"""Utrecht"" Te Deum & Jubilate (HWV 278 & 279): O Lord, in thee have I trusted",0.428,0.0951,103.065,0.0413,0.955,0.903,4,0.446,1,82507,-15.949,0.196,1,Stirring
Mundy,Shot in the Dark,0.932,0.153,146.986,0.0338,4.81E-06,0.0194,4,0.449,2,222931,-4.706,0.313,1,Defiant
Citizen King,Better Days (And The Bottom Drops Out),0.896,0.136,94.911,0.0501,0.173,3.18E-05,4,0.758,9,207027,-3.311,0.8,1,Yearning
Pomplamoose,Come Together,0.464,0.0796,86.016,0.0374,0.0525,0.000535,4,0.791,1,167000,-9.175,0.686,1,Energetic
Adele,Make You Feel My Love,0.173,0.105,76.97,0.0292,0.907,0.000401,1,0.552,10,212040,-10.576,0.0841,1,Sentimental
Jefferson Airplane,White Rabbit,0.32,0.122,105.616,0.0281,0.378,9.12E-05,4,0.583,2,151400,-11.875,0.35,1,Sad
The Color Morale,Clip Paper Wings,0.975,0.0969,164.99,0.128,7.19E-06,0.862,4,0.365,2,204200,-3.647,0.29,1,Defiant
Pyotr Ilyich Tchaikovsky,"The Sleeping Beauty, Suite, Op.66a, TH 234: Pas d'action: Rose Adagio",0.293,0.0642,84.694,0.0373,0.945,0.869,4,0.149,3,343000,-14.837,0.109,1,Serious
Ludique,Learning the ropes,0.769,0.108,123,0.0785,0.0015,0.638,4,0.759,8,302938,-6.156,0.585,1,Serious
Cold War Kids,Miracle Mile,0.866,0.325,142.858,0.0658,0.00685,0.795,4,0.353,2,180133,-3.163,0.312,1,Sad
Jenny Hval,Untamed Region,0.244,0.375,104.795,0.0536,0.946,0.54,4,0.296,3,291523,-22.722,0.231,1,Sad
Big Sean,Dance (A$$),0.697,0.143,159.831,0.341,0.0186,0.0273,4,0.759,2,197760,-6.498,0.662,1,Defiant
Sheb Wooley,The Purple People Eater,0.447,0.358,157.265,0.0718,0.305,1.61E-05,4,0.671,9,133947,-14.931,0.893,1,Energetic
Gary Numan,Cars,0.578,0.0674,128,0.0404,0.00967,5.97E-05,4,0.542,2,238907,-8.755,0.824,1,Energetic
Stone Sour,Absolute Zero,0.987,0.865,139.954,0.0792,0.000107,0.24,4,0.552,6,229831,-2.927,0.586,1,Aggressive
Etta James,I'd Rather Go Blind,0.398,0.191,81.579,0.0253,0.661,0.000519,3,0.539,9,156667,-6.513,0.578,1,Energetic
Jess Morgan,Heads of the Valleys Road,0.0342,0.111,79.88,0.0513,0.94,0.728,4,0.529,7,124000,-21.638,0.16,1,Sad
Andy McKee,The Reason,0.355,0.102,172.129,0.038,0.878,0.871,4,0.396,11,307278,-10.437,0.648,1,Easygoing
liv,Wings of Love,0.882,0.0501,89.961,0.0485,0.0859,0.000305,4,0.6,2,245966,-3.768,0.847,1,Sad
The Naked And Famous,Laid Low,0.888,0.125,126.042,0.0338,0.03,0.00265,4,0.531,6,235760,-4.575,0.393,1,Excited
Future Islands,Tomorrow,0.451,0.106,149.99,0.03,0.0561,0.000387,4,0.571,1,212481,-8.524,0.304,1,Sad
Vulpey,What We Feel,0.801,0.0822,162.044,0.255,0.112,0.00777,4,0.844,2,225926,-2.204,0.751,1,Energetic
Private Pleasure,Into You,0.332,0.108,119.962,0.0294,0.622,0.857,4,0.597,5,277920,-14.436,0.325,1,Energetic
Danny Elfman,Jack's Lament,0.24,0.156,86.073,0.0435,0.675,0.000902,4,0.328,4,194027,-17.405,0.29,1,Serious
Rachael Yamagata,Over,0.843,0.143,144.114,0.0506,0.0282,3.30E-06,4,0.488,9,253444,-4.854,0.503,1,Yearning
George Harrison,What Is Life - 2001 Remastered Version,0.736,0.33,131.14,0.0391,0.00129,6.52E-05,4,0.448,4,264320,-9.324,0.78,1,Energetic
Edge Of Sanity,The Last Song,0.372,0.108,76.333,0.0365,0.0856,0.8,4,0.109,3,332867,-10.841,0.251,1,Romantic
No Use For A Name,Soulmate,0.987,0.209,188.856,0.0657,0.00163,1.60E-05,4,0.288,8,186707,-5.921,0.62,1,Defiant
HAIM,Don't Save Me,0.889,0.0978,139.963,0.0441,0.0284,1.20E-06,4,0.676,7,230293,-4.277,0.644,1,Yearning
RAC,One House,0.822,0.111,130.066,0.0348,0.183,7.28E-05,4,0.653,6,173827,-7.89,0.412,1,Sophisticated
Pulp,Babies,0.818,0.0827,156.193,0.0649,0.113,2.46E-06,4,0.299,2,244827,-7.942,0.605,1,Energetic
Frdric Chopin,"Ballade No. 2 in F Major, Op. 38",0.112,0.0706,78.88,0.0354,0.988,0.86,4,0.297,5,419000,-20.01,0.0435,1,Serious
Safari,Blank Space - Focus Version,0.0836,0.0831,89.986,0.0273,0.715,0.811,4,0.379,11,261559,-22.86,0.0373,1,Sensual
Gucci Mane,1st Day Out Tha Feds,0.446,0.109,138.01,0.0534,0.00422,8.55E-05,4,0.849,4,184387,-8.01,0.615,1,Energetic
Sleigh Bells,Rill Rill,0.804,0.0736,73.048,0.0501,0.0356,1.60E-06,4,0.483,8,229893,-3.452,0.803,1,Energetic
Damien Rice,Cannonball,0.284,0.113,147.874,0.0326,0.845,0.000234,4,0.642,1,310000,-15.317,0.453,1,Easygoing
Curbi,51,0.961,0.0969,128.019,0.0968,0.0358,0.876,4,0.504,7,187510,-0.864,0.172,1,Aggressive
Art Tatum,"8 Humoresques, Op. 101, B. 187: No. 7. Poco lento e grazioso in G-Flat Major (arr. A. Tatum)",0.287,0.106,70.71,0.0333,0.977,0.861,3,0.343,1,139533,-16.541,0.695,1,Sentimental
Daniel Elder,The Heart's Reflection,0.0671,0.106,123.163,0.0469,0.99,0.865,3,0.183,2,315307,-24.072,0.029,1,Sad
Ryan Adams,When The Stars Go Blue,0.207,0.116,89.86,0.0322,0.437,4.43E-05,4,0.59,10,211667,-13.173,0.285,1,Romantic
Georges Bizet,Carmen Suite No. 2: Habanera: Allegretto quasi Andantino (Act I),0.0211,0.269,93.563,0.0363,0.962,0.0645,3,0.397,2,121027,-27.023,0.517,1,Peaceful
Roy Hargrove,Trust,0.307,0.115,116.308,0.0347,0.912,0.623,4,0.399,1,325587,-14.38,0.0621,1,Sentimental
Coast Modern,Animals,0.924,0.15,121.034,0.0432,0.00208,7.84E-05,4,0.597,9,214267,-4.076,0.88,1,Sad
Red Hot Chili Peppers,Under The Bridge,0.49,0.136,84.275,0.0457,0.0168,0.000534,4,0.554,4,265507,-8.046,0.519,1,Yearning
Avatar,Night Never Ending,0.964,0.399,119.991,0.0481,7.17E-05,0.0227,4,0.527,9,212481,-6.62,0.375,1,Defiant
Fallujah,The Void Alone,0.977,0.253,110.015,0.132,0.00291,0.335,4,0.48,7,258740,-5.617,0.0955,1,Aggressive
John Coltrane,The Way You Look Tonight,0.42,0.0993,96.564,0.032,0.112,1.96E-06,4,0.526,8,505773,-7.087,0.642,1,Sentimental
Thelonious Monk Quartet,Epistrophy - Live,0.668,0.257,77.662,0.0574,0.354,2.78E-05,4,0.364,9,269493,-10.412,0.537,1,Sentimental
Leon Haywood,I Want'a Do Something Freaky To You,0.499,0.245,91.694,0.0317,0.258,0.00333,4,0.579,4,303107,-13.013,0.85,1,Energetic
Bobby Messano,April Showers,0.668,0.17,85.01,0.0263,0.223,1.93E-06,4,0.575,9,218840,-5.713,0.781,1,Yearning
Lpsley,Station (2014),0.098,0.102,119.609,0.109,0.978,1.38E-05,4,0.604,7,194429,-20.877,0.144,1,Cool
Wolfgang Amadeus Mozart,"Divertimento in E-Flat Major, K. 563: I. Allegro",0.125,0.157,127.934,0.041,0.949,0.228,4,0.381,3,735733,-19.627,0.354,1,Tender
Grace Kelly,Ballad for MC,0.0562,0.107,116.666,0.0415,0.974,0.532,4,0.385,11,182653,-14.812,0.186,1,Romantic
J Mascis,Me Again,0.385,0.144,171.295,0.0283,0.886,0.224,4,0.399,3,264760,-11.468,0.245,1,Easygoing
Deorro,Move On,0.489,0.111,125.001,0.101,0.00181,0.776,4,0.875,1,339653,-10.727,0.273,1,Energetic
Elastica,Stutter,0.974,0.306,172.381,0.073,0.0444,0.374,3,0.171,11,142200,-3.054,0.389,1,Energetic
Modest Mussorgsky,Pictures At An Exhibition: Promenade,0.00277,0.141,73.667,0.05,0.983,0.278,1,0.0643,8,67240,-39.611,0.149,1,Peaceful
Sam Evian,Dark Love,0.548,0.0634,99.629,0.0275,0.385,0.487,4,0.622,4,287499,-7.348,0.738,1,Yearning
Songs For Children,The Story of the Three Little Pigs,0.253,0.0919,114.291,0.829,0.922,1.87E-06,3,0.701,7,314520,-25.373,0.354,1,Other
The Kills,Future Starts Slow,0.743,0.0581,127.971,0.0611,0.0135,0.00222,4,0.677,6,248200,-5.876,0.461,1,Sad
The Rolling Stones,Let's Spend The Night Together - Remastered / Mono,0.747,0.132,141.979,0.0465,0.28,0.000739,4,0.542,7,207000,-7.338,0.58,1,Energetic
Adolescents,Amoeba,0.962,0.803,189.29,0.0753,7.97E-05,0.00175,4,0.231,4,186627,-7.341,0.539,1,Defiant
Ina Ray Hutton,Blue Skies,0.197,0.133,178.62,0.114,0.894,0.00789,4,0.457,2,215733,-18.418,0.709,1,Energetic
